name,azNumber,origin,made by,isThawed
odr-7:: ChR2-YFP unc-119::GCaMP-1 unc-119::DsRed,1,2,Alon,False
gcy-5:: ChR2-YFP unc-119::GCaMP1 unc-119::DsRed,2,2,Alon,False
gcy-5:: ChR2-YFP gcy-8:: GCaMP-2,3,2,Alon,False
pax-2::GFP glr-1::GCaMP-2 odr-7::ChR2-YFP ,4,2,Alon,False
pax-2::GFP glr-1::GCaMP-2 odr-7::ChR2-YFP gcy-5::DsRed2,5,2,Alon,False
gcy-5::GCaMP-2,6,2,Alon,False
glr-1::GCaMP-2,7,2,Alon,False
gcy-5: ChR2-cherry glr-1::GCaMP-2,8,2,Alon,False
glr-1::ChR2-cherry gcy-5::GCaMP-2,9,2,Alon,False
gcy-5:: ChR2-cherry gcy-8::GCaMP2,10,2,Alon,False
gcy-5:: ChR2-cherry glr-1::GCaMP1,11,2,Alon,False
gcy-5:: ChR2-cherry gcy-5:: GCaMP-1,12,2,Alon,False
glr-1::ChR2-chry glr-1::GCaMP1,13,2,Alon,False
eat-4::ChR2-cherry glr-1::GCaMP1,14,2,Alon,False
sra-6:: ChR2-cherry sra-6:: GCaMP-1,15,2,Alon,False
gcy-5::iGluR6-chry,16,2,Alon,False
str-2::GCaMP-2,17,2,Alon,False
myo-3::GFP-Aequorin,18,2,Alon,False
dgk-1::GFP-Aequorin,19,2,Alon,False
str-2::ChR2-chry(H134R) str-2::GCaMP-2,20,2,Alon,False
gcy-5::ChR2-chry(H134R) gcy-5::GCaMP-2,21,2,Alon,False
unc-119::GFP-Aequorin,22,2,Alon,False
gcy-5::ChR2-chry(H134R),23,2,Alon,False
str-2::ChR2-chry(H134R),24,2,Alon,False
gcy-5::ChR2-chry(H134R) 1,25,2,Alon,False
gcy-8::ChR2-chry(H134R) gcy-8::GCaMP-2,26,2,Alon,False
gcy-8::GCaMP-2,27,2,Alon,False
mec-4::ChR2-chry(H134R),28,2,Alon,False
myo-3::ChR2-chry(H134R),29,2,Alon,False
sra-6:: GFP-Aequorin ,30,2,Alon,False
str-2:: GFP-Aequorin ,31,2,Alon,False
C37::GFP ,32,2,Alon,False
rpa-0::GFP ,33,2,Alon,False
sra-6::GCaMP-3 ,34,2,Alon,False
sra-6 lite (sharad),35,2,?,False
sra-6 (sharad),36,2,?,False
gcy-8::GCaMP-3,37,2,Alon,True
str-1::GCaMP-3,38,2,Alon,True
gpa-4::GCaMP-3,39,2,Alon,False
str-2::GCaMP3,40,2,Alon,False
str-1::GFP,41,2,Alon,False
glr-3::GCaMP-3,42,2,Alon,False
"pha-1, lite-1",43,3,,True
eat-4::GCaMP-3,44,2,Alon,False
gcy-5::GCaMP-3,45,2,Alon,True
"sra-6::ChR2, glr-3::GCaMP-3 ",46,2,Alon,False
myo-2::HyLi-GFP-Plus,47,2,Alon,False
sra-6::GCaMP3 ,48,2,Alon,False
srh-142::GCaMP-3,49,2,Alon,False
srg-8::GCaMP-3,50,2,Alon,False
